School,GradeLevel,QS,QA,Bdate,Edate,add by day,sub by day,dailyQ,,
Frontier Elementary,5th Grade Cohort,17,2,8/20/2020,9/8/2020,19,0,19,,
Franklin Middle School,8th Grade Cohort,19,4,8/25/2020,9/9/2020,23,0,42,,
Jackson Elementary,3rd Grade Cohort,18,5,8/25/2020,9/9/2020,23,0,65,,
Franklin Middle School,6th Grade Cohort,19,6,8/26/2020,9/10/2020,25,0,90,,
Early Childhood Center at Aims Community College,Preschool,39,3,8/28/2020,9/15/2020,42,0,132,,
Prairie Heights Middle School,8th Grade Cohort,19,4,8/28/2020,9/10/2020,23,0,155,,
Jackson Elementary,4th Grade Cohort,22,3,8/29/2020,9/14/2020,25,0,180,,
Shawsheen Elementary,2nd Grade Cohort,17,5,8/30/2020,9/14/2020,22,0,202,,
Early College Academy,10th Grade Cohort,18,4,8/31/2020,9/8/2020,22,0,224,,
Franklin Middle School,8th Grade Cohort,24,5,9/1/2020,9/16/2020,29,0,253,,
Greeley Central High School,Mixed Cohort,60,2,9/2/2020,9/12/2020,62,0,315,,
Madison Elementary,4 Cohorts(2-1st Grade & 2-5th Grade),65,11,9/2/2020,9/18/2020,76,0,391,,
Northridge High School,Mixed Cohort,38,6,9/2/2020,9/17/2020,44,0,435,,
McAuliffe STEM Academy,7th Grade Cohort,19,5,9/3/2020,9/14/2020,24,0,459,,
Billie Martinez Elementary,1st Grade Cohort,19,5,9/4/2020,9/16/2020,24,0,483,,
Greeley Central High School,Mixed Cohort,32,5,9/4/2020,9/16/2020,37,0,520,,
Franklin Middle School,6th Grade Cohort,18,5,9/10/2020,9/24/2020,23,136,407,,
Greeley 6 Administration Building,,0,7,9/10/2020,9/21/2020,7,0,414,,
Greeley West High School,Mixed Cohort,52,6,9/10/2020,9/24/2020,58,0,472,,
Innovative Connections High School,2nd Grade Cohort,21,2,9/10/2020,9/24/2020,23,0,495,,
University Schools,1st Grade Cohort,22,2,9/10/2020,9/24/2020,24,0,519,,
University Schools,2st Grade Cohort,21,2,9/10/2020,9/24/2020,23,0,542,,
ECC Aims District 6 Preschool,1 Preschool Cohort,30,5,9/11/2020,9/25/2020,35,0,577,,
Heath Middle School,8th Grade and Algebra Cohort,47,7,9/13/2020,9/21/2020,54,62,569,,
Maplewood Elementary School,5th Grade Cohort,23,4,9/14/2020,9/23/2020,27,71,525,,
Jackson Elementary,3rd Grade Cohort,16,3,9/16/2020,9/30/2020,19,111,433,,
Winograd K-8 Elementary School,3rd Grade Cohort,20,4,9/17/2020,10/1/2020,24,44,413,,
Franklin Middle School,7th Grade Cohort,20,4,9/21/2020,10/5/2020,24,61,376,,
Winograd K-8 Elementary School,5th Grade Cohort,24,1,9/21/2020,9/29/2020,25,0,401,,
Franklin Middle School,8th Grade Cohort,18,4,9/24/2020,10/8/2020,22,178,245,,
Franklin Middle School,8th Grade Cohort,20,4,9/24/2020,10/8/2020,24,0,269,,
Frontier Elementary,Mixed Cohort,22,5,9/24/2020,10/8/2020,27,0,298,,
Jackson Elementary,5th Grade Cohort,18,4,9/25/2020,10/2/2020,22,35,285,,
Prairie Heights Middle School,8th Grade Cohort,8,2,9/28/2020,10/7/2020,10,0,295,,
Franklin Middle School,6th Grade Cohort,16,0,9/28/2020,10/8/2020,16,0,311,,
Dos Rios Elementary School,5th Grade Cohort,17,4,9/29/2020,10/8/2020,21,25,307,,
Billie Martinez Elementary,2nd Grade Cohort,36,5,9/30/2020,10/13/2020,41,22,329,,
Frontier High School,All,0,0,10/1/2020,10/12/2020,0,-24,305,,
