School_Cod,LATITUDE,LONGITUDE,School,GradeLevel,QS,QA,Bdate,Edate,Indicator,siz,Col,QT
1875,40.39109,-104.721832,Frontier Elementary,5th Grade Cohort,17,2,8/20/2020,9/8/2020,Quarantined,1,Quarantined,19
3162,40.424347,-104.735077,Franklin Middle School,8th Grade Cohort,19,4,8/25/2020,9/9/2020,Quarantined,1,Closed,23
4356,40.39595,-104.711136,Jackson Elementary,3rd Grade Cohort,18,5,8/25/2020,9/9/2020,Quarantined,1,Quarantined,23
3162,40.424347,-104.735077,Franklin Middle School,6th Grade Cohort,19,6,8/26/2020,9/10/2020,Quarantined,1,Closed,25
2703,40.406967,-104.76828,Early Childhood Center at Aims Community College,Preschool,39,3,8/28/2020,9/15/2020,Quarantined,1,Quarantined,42
4438,40.377541,-104.784508,Prairie Heights Middle School,8th Grade Cohort,19,4,8/28/2020,9/10/2020,Quarantined,1,Quarantined,23
4356,40.39595,-104.711136,Jackson Elementary,4th Grade Cohort,22,3,8/29/2020,9/14/2020,Quarantined,1,Quarantined,25
7814,40.426685,-104.746429,Shawsheen Elementary,2nd Grade Cohort,17,5,8/30/2020,9/14/2020,Quarantined,1,Quarantined,22
2657,40.420017,-104.771461,Early College Academy,10th Grade Cohort,18,4,8/31/2020,9/8/2020,Quarantined,1,Quarantined,22
3162,40.424347,-104.735077,Franklin Middle School,8th Grade Cohort,24,5,9/1/2020,9/16/2020,Quarantined,1,Closed,29
3610,40.415386,-104.701805,Greeley Central High School,Mixed Cohort,60,2,9/2/2020,9/12/2020,Quarantined,1,Quarantined,62
5412,40.427505,-104.719116,Madison Elementary,4 Cohorts(2-1st Grade & 2-5th Grade),65,11,9/2/2020,9/18/2020,Quarantined,1,Quarantined,76
6364,40.437233,-104.792343,Northridge High School,Mixed Cohort,38,6,9/2/2020,9/17/2020,Quarantined,1,Quarantined,44
5660,40.427559,-104.766296,McAuliffe STEM Academy,7th Grade Cohort,19,5,9/3/2020,9/14/2020,Quarantined,1,Quarantined,24
6774,40.429775,-104.701637,Billie Martinez Elementary,1st Grade Cohort,19,5,9/4/2020,9/16/2020,Quarantined,1,Quarantined,24
3610,40.415386,-104.701805,Greeley Central High School,Mixed Cohort,32,5,9/4/2020,9/16/2020,Quarantined,1,Quarantined,37
3162,40.424347,-104.735077,Franklin Middle School,6th Grade Cohort,18,5,9/10/2020,9/24/2020,Quarantined,1,Closed,23
0,40.422161,-104.692711,Greeley 6 Administration Building,Admin staff,0,7,9/10/2020,9/21/2020,Quarantined,1,Quarantined,7
3614,40.39954,-104.735039,Greeley West High School,Mixed Cohort,52,6,9/10/2020,9/24/2020,Quarantined,1,Quarantined,58
3997,40.405834,-104.76825,Innovative Connections High School,2nd Grade Cohort,21,2,9/10/2020,9/24/2020,Quarantined,1,Quarantined,23
2850,40.410126,-104.787331,University Schools,1st Grade Cohort,22,2,9/10/2020,9/24/2020,Quarantined,1,Quarantined,24
2850,40.410126,-104.787331,University Schools,2st Grade Cohort,21,2,9/10/2020,9/24/2020,Quarantined,1,Quarantined,23
1,40.406967,-104.76828,ECC Aims District 6 Preschool,1 Preschool Cohort,30,5,9/11/2020,9/25/2020,Quarantined,1,Quarantined,35
3880,40.413918,-104.715622,Heath Middle School,8th Grade and Algebra Cohort,47,7,9/13/2020,9/21/2020,Quarantined,1,Quarantined,54
5620,40.419445,-104.711403,Maplewood Elementary School,5th Grade Cohort,23,4,9/14/2020,9/23/2020,Quarantined,1,Quarantined,27
4356,40.39595,-104.711136,Jackson Elementary,3rd Grade Cohort,16,3,9/16/2020,9/30/2020,Quarantined,1,Quarantined,19
53,40.437634,-104.792267,Winograd K-8 Elementary School,3rd Grade Cohort,20,4,9/17/2020,10/1/2020,Quarantined,1,Quarantined,24
2850,40.410126,-104.787331,University Schools,7th Grade Cohort,16,8,9/19/2020,10/5/2020,Quarantined,1,Quarantined,24
3162,40.424347,-104.735077,Franklin Middle School,7th Grade Cohort,20,4,9/21/2020,10/5/2020,Quarantined,1,Closed,24
53,40.437634,-104.792267,Winograd K-8 Elementary School,5th Grade Cohort,24,1,9/21/2020,9/29/2020,Quarantined,1,Quarantined,25
3162,40.424347,-104.735077,Franklin Middle School,8th Grade Cohort,18,4,9/24/2020,10/8/2020,Quarantined,1,Closed,22
3162,40.424347,-104.735077,Franklin Middle School,8th Grade Cohort,20,4,9/24/2020,10/8/2020,Quarantined,1,Closed,24
1875,40.39109,-104.721832,Frontier Elementary,Mixed Cohort,22,5,9/24/2020,9/8/2020,Quarantined,1,Quarantined,27
1875,40.412838,-104.787861,Frontier High School,Mixed Cohort,22,4,9/24/2020,10/8/2020,Quarantined,1,Quarantined,26
